timestamp,total
2026-08-14T18:44:50.637Z,196
2026-08-14T18:50:03.461Z,197
2026-08-15T01:42:09.460Z,205
2026-08-15T06:50:56.284Z,223
2026-08-15T12:51:44.043Z,243
2026-08-15T18:39:39.971Z,250
2026-08-16T01:49:58.226Z,258
2026-08-16T06:51:52.464Z,261
2026-08-16T12:53:15.511Z,276
2026-08-16T18:38:50.001Z,294
2026-08-17T01:47:33.068Z,302
2026-08-17T04:26:27.628Z,307
2026-08-17T16:16:12.251Z,335
2026-08-18T16:20:48.398Z,361
2026-08-19T16:20:23.470Z,379
2026-08-20T16:23:31.204Z,394
2026-08-21T15:28:23.581Z,416
2026-08-21T16:34:47.785Z,422
2026-08-22T04:33:14.980Z,433
2026-08-22T16:24:42.682Z,460
2026-08-23T04:37:32.790Z,482
2026-08-23T16:25:37.245Z,510
2026-08-24T04:44:46.857Z,548
2026-08-24T16:38:23.832Z,585
2026-08-25T04:39:12.404Z,610
2026-08-25T16:37:43.201Z,648
2026-08-26T04:39:46.189Z,662
2026-08-26T09:12:16.580Z,670
2026-08-26T09:18:25.221Z,671
2026-08-26T09:42:06.299Z,674
2026-08-26T09:55:44.804Z,677
2026-08-26T11:02:34.183Z,681
